???, ...,,ending_music
???,아. 사진은 외삼촌이 줬어. 지금은 우리 양아빠거든.,DOWN,
???,...그날 출발할 때 엄마한테 받았다더라. ,DOWN,
???,에휴. 생각하니까 괜히 또 복잡하다. 다른 얘기하자.,DOWN,
???,이거 만들 때부터 느낀 건데 언니랑 오빠 되게 귀엽게 생겼지? 실제로도 많이 봤잖아.,DOWN,
???,음.. 방금 건 괜히 말했,DOWN,
???,어쨌든 이거 맞춰보니까 어때? 뭐 떠오르는 거라도 있어?,,
X,...,,
???,…,,
X,...,,
???,재촉하는 거 아니야. 그냥 편하게 말해.,,
X,...,,
???,음.. 지금 듣고 있는 건가?,,
X,...,,
???,왜 말을 안 해 갑자기.,,
X,...,,
???,…하하.,,
???,진짜 사람이 어떻게 이렇냐. ,,
???,아니.. 내가 뭐가 아쉬워서 이러겠냐고. 응? ,,
???,생전 말 한마디 안 해본 사람인데. 그래도 가족이라고 몇 년 동안 찾아와서 말동무도 해 줬잖아. ,,
???,아니! 말동무가 뭐야. 딸 하나 제대로 못 보는 사람한테 혼잣말이나 하다가 그냥 간 거지.,,
???,이제 겨우 입이나 여나 했는데..가족들 사진 한번 봤다고 또 무서워서 이래? ,,
???,진짜.. 내가 뭐 하러 이런…흐으…,S,
X,…으아.,,
???,흐윽.. 또 뭐…,,
X,드알.,P1,
???,…,,
X,따알.,UP,
세빈,…,,
세빈,…아?,,
X,…뜨알. 으응…,,
세빈,…,,
X,세. 이이. 이인. ,,
세빈,…하. 하하. 아…,,
세빈,…흐윽. 진짜 빨리도 말하네. ,P2,
세빈,세. 빈. 빈이라고요. 이인이라 하지 말고. ,,
X,…이인. 브인.,,
세빈,일단.. 이거부터 해야겠네. ,,
X,브…브은. 븐.,,
세빈,그래요. 뭔 말 하는지 알아.,,
세빈,일단 오늘은 좀 쉬어요. 앞으로 외삼촌부터 해서 여럿 올 거고 나도 말 시키러 계속 올 거니까.,,
세빈,...그럼 내일 봐요. 아빠.,P3,
