???,수고했네. 오늘은 이쯤 하자.,,
???,하.. 무슨 이런 걸 시켜서 안 그래도 힘든 사람 못살게 해. 내가 사과 깎아 놨으니까…,,
???,…응?,,
X,…으으.,,
???,…,,
X,…으아.,FA,
111,엄마~ 얘가 나한테 먼저 시비 걸었# ##,,flashback
222,뭐래!! 오빠가 내 책 가져가니까 ## # ##,,
333,어허. 얘네가 엄마 앞에서도 싸우나. 엄마가 놀이터에서 ### 잘 봐 달라고 했더니.,,
333,당신도 보고만 있지 말고 애들 # ##,,
???,##…##!,BWOD,
???,이걸 갑자기 왜 멈춰요? 아니.. 지금 효과가 나왔잖아요. 저 진짜 몇 년 동안 고생한 거 못 봤어요?,,endsound
???,사람이 실어증이 걸려서는 입을 십 년 만에 열었는데 결과 다 나왔다고 그만두면. 다시 또 사람 폐인 만들게요?,,
???,무리할 게 걱정되면 처음부터 하지를 말던가! 지금 이럴 시간에도…아. 봤어요.,,
???,어쨌든 제가 조절 잘할 테니까 오늘 가져온 건 다 끝낼게요.,,
???,…하... 외삼촌한텐 뭐라 말하나.,PI,
???,…음.,,shak
???,몸은 좀 괜찮아? 아까 쓰러졌.. 아니. 많이 힘들어하던데.,,
???,일단 물 좀 마시자. 나도 한 잔 마셔야겠다.,,
???,…,,
???,아까 일은 진짜 미안하다. 내가 잘 챙겼어야 되는데.,,
???,그러면 오늘은 퍼즐 더 해 볼래? 그림 몇 개 남았는데.,,
X,...,,
???,…응.,,
???,그... 우리 조금만 더 해보자.,,
???,나도 옆에서 도와줄게. 응? 우리 오늘 계속 잘 했잖아. 아직 두 개나 남았는데 이거까지 다 해보면…,,
???,내 말 한 번만 좀 들어주라. 오늘 딱히 할 것도 없는데 이거라도 맞추면 좋잖아. 진짜 이상한 거 아니고 그냥 퍼즐이라니까?,,
???,이렇게까지 말하는데.. 나 봐서라도 한 번만 좀…,,
X,...,,
???,…하하.,,
???,지금 힘든 걸 내가 왜 몰라. ,,
???,근데 그냥 한번만 참고 해주면 안 돼? 나도 지금까지 많이 참았잖아. ,,
