111,아빠~ 우리 오늘 언제 도착해요?,FA
222,저녁이라고 아까 말했잖아. 오빠. 빨리 튜브 좀 넣어.,
111,야. 우리 갈 때 물총도 가져갈까? ###도 같이 쏘자!,
333,어허~ ###는 두 살이에요. 아직 그런 거 하면 위험해.,
333,아. 당신 이따 운전할 때 피곤하면 나랑 자리 바꿔. 괜히 졸지 말고.,
333,…당신 왜 말이 없어?,FO
???,사진으로 보니까 기분 꽤 이상하다. 뭐 이리 좋은 집에서 살았대.,B
???,그래서 뭐 떠오르는 건 없어?,
???,애들 놀던 놀이터라든가. 옛날에 살던 집이라든가. 뭐 그런 곳에서 있었던 일들. 아.. 이거 말하지 말랬나? 하여간.,
X,으으. 으어…,
???,응. 소리만 계속 내면 됐어. 몇 달 하다 보면 단어까지는 말하겠지.,
???,참.. 내가 얼굴도 처음 본 사람이랑 대화 한 번 해보겠다고 몇 년을 고생했는데.,
???,사람이 기억상실에 실어증에.. 하여간 폐인이 돼 가지고는. 말을 걸어도 안 들어. 옛날 사진을 보여줘도 보지를 않아. ,
???,근데 새로 온 의사가 사진들 갖다가 퍼즐로 줘 보라는 거야. 뭔지도 모르고 맞추게.,
???,무슨 사이비인가 싶었는데.. 진짜 세상에 별일이 다 있네.,
???,아직 퍼즐 하나 남았는데.. 이게 마지막이야. 끝까지 해 보자.,
